,user_ID,name,affiliation
388,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
389,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
390,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
391,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
392,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
393,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
394,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
395,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
396,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
397,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
398,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
399,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
400,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
401,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
402,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
403,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
404,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
405,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
406,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
407,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
408,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
409,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
410,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
411,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
412,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
413,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
414,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
415,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
416,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
417,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
418,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
419,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
420,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
421,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
422,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
423,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
424,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
425,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
426,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
427,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
428,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
429,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
430,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
431,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
432,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
433,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
434,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
435,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
436,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
437,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
438,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
439,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
440,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
441,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
442,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
443,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
444,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
445,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
446,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
447,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
448,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
449,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
450,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
451,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
452,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
453,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
454,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
455,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
456,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
457,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
458,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
459,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
460,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
461,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
462,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
463,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
464,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
465,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
466,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
467,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
468,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
469,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
470,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
471,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
472,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
473,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
474,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
475,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
476,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
477,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
478,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
479,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
480,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
481,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
482,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
483,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
484,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
485,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
486,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
487,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
488,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
489,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
490,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
491,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
492,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
493,kJaNuNMAAAAJ,Dulyaphab Chaturongkul,"Lecturer in Political Science, Thammasat University"
494,7XmRxVUAAAAJ,Punnavich Khowrurk,"Department of Computer Science,Thammasat University ·"
495,vvP6YwkAAAAJ,Adipon Euajarusphan,"Lecturer , Thammasat University"
496,NLshr9gAAAAJ,Ines Ayu Handayani,"Master's Student, SIIT, Thammasat University"
497,oALsv34AAAAJ,Kritsasith Warin,"Lecturer, Faculty of Dentistry, Thammasat University"
