,user_ID,name,affiliation
42,wvWCuA0AAAAJ,Kasian Tejapira,"Professor of Political Science, Thammasat University"
43,HTwbrIkAAAAJ,Jirachai Buddhakulsomsiri,"Sirindhorn International Institute of Technology, Thammasat University"
44,M12Q8-MAAAAJ,Songyot Nakariyakul,"Associate Professor of Electrical and Computer Engineering, Thammasat University"
45,BWM1T2EAAAAJ,Pavida Pananond,"Thammasat Business School, Thammasat University, Bangkok, Thailand"
46,TopHIDwAAAAJ,Mongkut Piantanakulchai,"Sirindhorn International Institute of Technology, Thammasat University"
47,Ego6Y3IAAAAJ,Mathupayas Thongmak,Thammasat Business School
48,rzHSMQ8AAAAJ,Natthapon Nakpathomkun,Thammasat University
49,ijKtwqsAAAAJ,"Banlue Srisuchinwong, PhD","Sirindhorn International Institute of Technology, Thammasat University"
50,5IToUsoAAAAJ,Kittipat Malakit,Thammasat University
51,71ebhj8AAAAJ,Chayanin Angthong,"Department of Orthopaedics, Thammasat University"
52,BATHSXAAAAAJ,Nopadol Rompho,Thammasat University
53,Y3NQ8fkAAAAJ,Itthisek Nilkhamhang,Sirindhorn International Institute of Technology
54,Gx8EJKYAAAAJ,Dr. Khanin Nueangnoraj,"Sirindhorn International Institute of Technolgy, Thammasat University, Thailand"
55,80Kis_AAAAAJ,Vikanda Pornsakulvanich,Thammasat University
56,-BiqpXEAAAAJ,Dr. Pholawat Tingpej,Thammasat University
57,W8l_dqIAAAAJ,Dr.Somnuk Tangtermsirikul,"Professor, Sirindhorn International Institute of Technology, Thammasat University"
58,04YlgK8AAAAJ,Kriengkrai Techakanont,"Associate Professor, Faculty of Economics, Thammasat University"
59,ZFvvmbYAAAAJ,Phatthanakit Chobthamkit,Thammasat University
60,DrRm-zUAAAAJ,Siriluck Rotchankitumnuai,"Thammasat Business School, Thammasat University"
61,Y2rA2nMAAAAJ,supakorn phoocharoensil,"Language Institute, Thammasat University"
62,jkZpNuYAAAAJ,Manat Srivanit,"Assistant Professor of City Planning, Faculty of Architecture and Planning, Thammasat …"
63,Y9_i9IoAAAAJ,Prof.Dr. Orapan Poachanukoon,"Faculty of Medicine, Thammasat University"
64,G03mmSIAAAAJ,Watit Pakdee,Thammasat University
65,4DZaRGYAAAAJ,Rathapon Asasutjarit,Thammasat University
66,J8H8WbAAAAAJ,Aurathai Lertwannawit,"Associate Professor in Business Administration, Marketing Department, Thammasat …"
67,ySezUucAAAAJ,Cholwich Nattee,"Sirindhorn International Institute of Technology, Thammasat University"
68,gf-vn2oAAAAJ,Asst.Prof.Dr. Kom Campiranon,"College of Innovation, Thammasat University"
69,GuALoboAAAAJ,Patcharee Kooncumchoo,"Asst.Professor of Physical Therapy, Thammasat University"
70,ytwnqaYAAAAJ,Sirima Mongkolsomlit,"Faculty of Public Health, Thammasat University"
71,FeSYQ9UAAAAJ,Jirapon Sunkpho,Thammasat University
72,35ESlEcAAAAJ,Ratchata Peachavanish,Thammasat University
73,7FSes-sAAAAJ,Supenya Chittapun,Thammasat University
74,VWv6qfIAAAAJ,Somboon Kulvisaechana,Thammasat Business School
75,agRE3Q4AAAAJ,Natenapha Yabushita,Thammasat University
76,KbyVPr4AAAAJ,somsak vongpradubchai,"Lecture, Faculty of Engineering, Thammasat University (Rangsit Campus)"
77,fSuRF4gAAAAJ,Charturong Tantibundhit,"Associate Professor of Electrical and Computer Engineering, Thammasat University"
78,P6o3R6cAAAAJ,sudaporn Sudprasert,Thammasat University
79,SKd9C_QAAAAJ,Muthita Phanasathit,Thammasat University
80,XyYldawAAAAJ,Somchart Fugkeaw,"Sirindhorn Institute of Technology, Thammasat University"
81,v_ETD68AAAAJ,Paiboon Nakmahachalasint,Thammasat University
82,zYs7N1AAAAAJ,Tareq Hossain,"Lecturer, Thammasat Business School"
83,DA9lAfYAAAAJ,Kittipong Chainok,Thammasat University
84,PF7C904AAAAJ,Nichaphat Thongsai,"Ph.D. at Department of Chemistry, Thammasat University"
85,yIpiYE0AAAAJ,Timo Ojanen,"Faculty of Learning Sciences and Education, Thammasat University"
86,OsvbnKAAAAAJ,Watchaneeporn Setthasakko,"Thammasat Business School, Thammasat University"
87,9qwG-5sAAAAJ,Onjira Sitthisak,"Department of Computer Science, Faculty of Science and Technology,Thammasat …"
88,utSFHHAAAAAJ,Isares Dhuchakallaya,Thammasat University
89,fgXGb-oAAAAJ,Thongchai Kanabkaew,Thammasat University
90,-Nyu6C8AAAAJ,Pantisa Pavabutr,Thammasat Business School
91,FKGmS7gAAAAJ,pichai aree,Thammasat University
92,BSB3qsUAAAAJ,Sathaporn Opasanon,"Associate Professor of Commerce and Accountancy, Thammasat University"
93,fdxbFp4AAAAJ,Paolo Bertozzini,"Foreign Expert, Department of Mathematics and Statistics, Thammasat University"
94,dno5C6MAAAAJ,Patcharee Isarankura-Na-Ayudhya,Thammasat University
95,bkSJ0TwAAAAJ,Somchai Supattarakul,"Thammasat Business School, Thammasat University"
96,eY0qi74AAAAJ,Suparuj Lueangarun,"Assistant Professor, Division of Dermatology, Chulabhorn International College of Medicine …"
97,VG8fTU0AAAAJ,John Winward,"lecturer, Thammasat University"
98,7cwN7dIAAAAJ,Prajak Kongkirati,"Faculty of Political Science, Thammasat University"
99,oJ_14kQAAAAJ,Sajee Sirikrai,"Department of Operations Management, Thammasat Business School"
100,Btx0U58AAAAJ,Nattapong Puttanapong,Thammasat University
101,pjbupgEAAAAJ,Nitikorn Noraphaiphipaksa,"Mechanical Engineering, Thammasat University"
102,Cgc8BGwAAAAJ,Tatchalerm Sudhipongpracha,"College of Interdisciplinary Studies, Thammasat University"
103,-z8vR6sAAAAJ,Suthisak Kraisornsuthasinee,"Thammasat Business School, Thammasat University"
104,6GojeM8AAAAJ,Adisorn Juntrasook,Thammasat University
105,sFzkGwMAAAAJ,Tuong Vi Tran,"PhD of Petrochemistry, Thammasat University"
106,SWN6W_QAAAAJ,Chaiyuth Padungsaksawasdi,Thammasat Business School
107,spTpSjkAAAAJ,Laddawan Aiemsomboon,Thammasat University
108,LCVBkkUAAAAJ,Wai Chamornmarn,Thammasat university
109,fivSEYsAAAAJ,Pailin Trongmateerut,"Department of Accounting, Thammasat Business School"
110,oGaYAk8AAAAJ,Wararit Panichkitkosolkul,Thammasat University
111,JHAt9hIAAAAJ,Uma Langkulsen,"Faculty of Public Health, Thammasat University"
112,uwsM0J0AAAAJ,Daranee Jareemit,"Faculty of Architecture and Planning, Thammasat University"
113,UCNA6dQAAAAJ,Pokpong Songmuang,"Thammasat University, Department of Computer Science"
114,3vsR_PYAAAAJ,Nuchada Dumrongsiri,Thammasat University
115,_K7vu3QAAAAJ,Worapop Suthiwartnarueput,"Department of Pathology and Forensic medicine, Faculty of Medicine, Thammasat University …"
116,NA2hZ_sAAAAJ,Krisada Chaiyasarn,"Department of Civil Engineering, Thammasat University"
117,7TAVi-cAAAAJ,Ganchai Tanapornraweekit,Sirindhorn International Institute of Technology
118,q3a3c6wAAAAJ,Chainarong Chaktranond,"Department of Mechanical Engineering, Faculty of Engineering, Thammasat University …"
119,AWp-inYAAAAJ,Sophida Sukprasert,"CICM, Thammasat University"
120,hfgLbmsAAAAJ,Kanoktip Pansuksan,Thammasat University
121,JS7ITa0AAAAJ,Wasin Siwasarit,"Department of Economics, Thammasat University"
122,w57gQ0EAAAAJ,Asst.Prof.Dr Songsakdi Rongviriyapanish,"Faculty of Science and Technology, Thammasat University"
123,4oYHGwEAAAAJ,Panichakorn Jaiyong,"Thammasat University, University of Manchester"
124,CIGup-kAAAAJ,Sakol Suethanapornkul,"Department of English and Linguistics, Faculty of Liberal Arts, Thammasat University"
125,u__8k3QAAAAJ,Suthikorn Kingkaew,Thammasat Business School
126,D-gCjy0AAAAJ,Wiroj Limtrakarn,"Professor of Mechanical Engineering, Thammasat University"
127,o656ai0AAAAJ,Patarawan Sangnawakij,"Lecturer of Statistics, Thammasat University"
128,k2XMMGMAAAAJ,Patnaree Srisuphaolarn,Thammasat Business School
129,WLlm5VwAAAAJ,Bhuminan Piyathasanan,Lecturer of Thammasat Business School
130,UxO9m6MAAAAJ,Sirirat Na Ranong,Thammasat University
131,xrKrnPUAAAAJ,Sangdao Wongsai,Thammasat University
132,-LjZjBYAAAAJ,Rachada Kongkachandra,Thammasat University
133,2f1eUr8AAAAJ,AJ Benjamin Clarke,"Department of English and Linguistics, Thammasat University, Thailand"
134,J-2GSGUAAAAJ,"Kewalin Inthanon, PhD, MPhil.","Biotechnology, Faculty of Science and Technology, Thammasat University"
135,Gwc1_EMAAAAJ,Woraphon Wattanatorn,Thammasat University
136,IzGKIBkAAAAJ,Supakit Prueksaaroon,"Faculty of Engineering, Thammasat University"
137,91z1Tv8AAAAJ,Prapaporn Rattanatamrong,"Computer Science, Thammasat University"
138,X0V5Y3QAAAAJ,Monthon Sorakraikitikul,Thammasat Business School
139,eyIlf_4AAAAJ,Sarun Gulyanon,Thammasat University
140,e-JEPVoAAAAJ,Panya Issarawornrawanich,"Thammasat Business School, Thammasat University"
141,PydiLw4AAAAJ,Chanintira na Thalang,Thammasat University
142,ULsutnMAAAAJ,Peerasak Intarapaiboon,Thammasat University
143,OFO6l_gAAAAJ,Rangsiman Soonthornchaiya,Thammasat university
144,zXscJoAAAAAJ,Neramitr Chirakanphaisarn,Thammasat University
145,_xTQ204AAAAJ,Kesorn Suwanprasert,Faculty of Medicine Thammasat University
146,7zY04eEAAAAJ,Asst.Prof.Dr.Kongkoon Tochaiwat,"Thammasat University, Thailand"
147,X4m6MKgAAAAJ,Monvika Phadoongsitthi,"Thammasat Business School, Thammasat University"
148,KJWyA3sAAAAJ,Monthon Kanokpermpoon,"Lecturer in TESOL, Language Institute, Thammasat University"
149,yzNFy8cAAAAJ,Bhawat Traipattanakul,Sirindhorn International Institute of Technology
150,G35ltCcAAAAJ,Arslan Khalid,"Sirindhorn International Institute of Technology, Thammasat University, Thailand"
151,9SEyR-8AAAAJ,Suntichai Kotcharin,Thammasat University
152,qQJDFmEAAAAJ,Pattarin Pirompanich,Thammasat University
153,G3WUmckAAAAJ,Asst.Prof. Dr. Tanatorn Tanantong,"Department of Computer Science, Thammasat University"
154,N5APA98AAAAJ,Wasit Limprasert,Thammasat University
155,8cHPaJgAAAAJ,Yukti Mukdawijitra,"Faculty of Sociology and Anthropology, Thammasat University"
156,qKEumTMAAAAJ,Assoc. Prof. Dr. Nidtaya Takviriyanun,"Faculty of Nursing, Thammasat University"
157,0axTu80AAAAJ,Winchana Srivilaithon,Thammasat University
158,9oCT6R0AAAAJ,Piyaphong Panpisut,"Faculty of Dentistry, Thammasat University"
159,29a2yH0AAAAJ,W. Marurngsith (Diaz Carballo),"Assistant Professor of Computer Science, Thammasat University"
160,XXllPi4AAAAJ,"Irfan Ahmad, PhD","SIIT, Thammasat University"
161,4JcGoFYAAAAJ,"Asst. Prof. Pimonmart Wankanapon, PhD","Faculty of Architecture and Planning,Thammasat University"
162,dJU_ZQMAAAAJ,Wilaiporn Kotbungkair,Thammasat University
163,Uaa1KsoAAAAJ,Ali Turab,Thammasat University
164,ItLUYmwAAAAJ,Warut Pannakkong,"Sirindhorn International Institute of Technology, Thammasat University"
165,pvCnCF0AAAAJ,Nunthika Puthikanon,Thammasat University
166,MX7TAskAAAAJ,Tipsuda Chaipiboonwong ( ทิพย์สุดา ไชยไพบูลย์วงศ์ ),"Department of Physics, Thammasat University"
167,dFNZTekAAAAJ,Natenapha Yabushita,Thammasat Business School
168,bcJvUQUAAAAJ,Pornraht Pongprasert,"Lecturer, Real Estate Business Department, Thammasat Business School, Thammasat …"
169,HLXaHaQAAAAJ,Thoetphum Benyakorn,"Assistant Professor of Surgery, Thammasat University"
170,9B2xPZwAAAAJ,Sakkakom Maneenop,"Department of Finance, Thammasat Business School"
171,THq7zHkAAAAJ,Pana Suttakul,"Sirindhorn International Institute of Technology, Thammasat University"
172,sPNLbBEAAAAJ,Pasitpon Vatcharavongvan,"Faculty of medicine, Thammasat University"
173,_6Bg2wMAAAAJ,Riza Eka Saputra,"Master's Student at Sirindhorn International Institute of Technology (SIIT), Thammasat …"
174,O5v1JZwAAAAJ,Pongphan Leelatien,Thammasat University
175,USNdDDcAAAAJ,Mahesh Kumar Sharma,"Department of Electrical and Computer Engineering, Thammasat University, Rangsit …"
176,_yizwDoAAAAJ,Patchanok Srisuradetchai,Thammasat University
177,PkFWEbUAAAAJ,Charlie Thame,"Assistant Professor in International Relations, Thammasat University"
178,TSl-lysAAAAJ,Krittakom Srijiranon,"Department of Computer Science, Faculty of Science and Technology, Thammasat …"
179,4Qnf3T0AAAAJ,Kedwadee Sombultawee,Assistant professor of Thammasat University
180,izbSPNwAAAAJ,Vanlee Siriganjanavong,Thammasat University
181,D6PmTr8AAAAJ,Chatphorn Theppitak,Thammasat University
182,ZfF9ubwAAAAJ,Ray Wang,Thammasat University
183,g3Jq1TkAAAAJ,Dichapong Pongpattrachai,Thammasat Business School
184,HI_T5EQAAAAJ,boonanan natakun,"Lecturer in interior architecture, Faculty of Architecture and Planning, Thammasat University"
185,ICKbTXkAAAAJ,Le Kim Hoang Pham,"Ph.D student, Thammasat University"
186,INGqUvAAAAAJ,Pimsiri Taylor,"The Language Institute, Thammasat University"
187,9XBboDkAAAAJ,Laliphat Manamanchaiyaporn,"Department of Mechanical Engineering, Thammasat University"
188,0ixSekYAAAAJ,Panitharn Juntongjin,Thammasat Business School
189,qk2DoWMAAAAJ,"Teerachai Arunruangsirilert, PhD, CPA, FAC","Assistant Professor of Accounting Department, Thammasat Business School, Thammasat …"
190,q1CwtV8AAAAJ,Anh Tuan Ta,Thammasat University
191,N08YncAAAAAJ,Prapimphan Chiengkul,"Assistant Professor at Faculty of Political Science, Thammasat University"
192,_7fILAQAAAAJ,John Chocce,Thammasat University
193,SkUKkNUcfwAC,Sayambhu Saita,"Faculty of Public Health, Thammasat University"
194,7XxhxlsAAAAJ,Euamporn Phijaisanit (เอื้อมพร พิชัยสนิธ),"Professor of Economics, Thammasat University"
195,LhsrvBN9-nAC,"Jinpitcha Mamom (Mamom, J),RN,APN,MNS,Ph.D","Associate Professor of Faculty of Nursing,Thammasat University"
196,n-F4VHUAAAAJ,Sirisilp Kongsilp,"Lecturer, Thammasat University"
197,lxGhO6UAAAAJ,Bipul Neupane,Sirindhorn International Institute of Technology
198,As7myZIAAAAJ,Tiraphap Fakthong,"Lecturer in Economics, Thammasat University"
199,q9z33g4AAAAJ,ChomChuen Somprasert.Ph.D.,"Assistant Professor,Faculty of Nursing ,Thammasat University"
200,ASISt-UAAAAJ,Neil Bowen,"Lecturer, Thammasat University"
201,Ii3pam0AAAAJ,Aua-aree Boonperm,"Department of Mathematics and Statistics, Faculty of Science and Technology, Thammasat …"
202,eC_Fj1MAAAAJ,Dr.Pongsagon Vichitvejpaisal,"Faculty of Science and Technology, Thammasat University"
203,qTFHbHcAAAAJ,Jurairat Boonruab,Thammasat University
204,K59DsAYAAAAJ,Lalin Kovudhikulrungsri,Thammasat University
205,Ah17OAUAAAAJ,Pyae Pyae Phyo,"Sirindhorn International Institute of Technology, Thammasat University"
206,UYBOrx8AAAAJ,Nattagorn Choochouy,"Faculty of Public Health, Thammasat University"
207,yTuDX_AAAAAJ,Methawut Peerapornvitoon,Thammasat Business School
208,uYC0ev0AAAAJ,Dr.Jittipat Poonkham,"Assistant Professor in International Relations, Thammasat University"
209,bEJVMRkAAAAJ,Niti Rattanaprichavej,"Lecturer at Thammasat Business School, Thammasat University"
210,j1EEDVAAAAAJ,Rujira Chaysiri,"Sirindhorn International Institute of Technology, Thammasat University"
211,WACc7p8AAAAJ,Norapon Sukuntee,Thammasat University
212,IcyU_o8AAAAJ,Pachara Pacharavanich,Thammasat University
213,CqXuJJEAAAAJ,Yanisa Chaiya,Thammasat University
214,Inr0vGsAAAAJ,Deepshikha Bhargava,Ph.D fellow at Thammasat University
215,0zYPUFYAAAAJ,Istvan Rado,"Lecturer, Thammasat University"
216,GpXErcoAAAAJ,Mijanur Rahman,"Research Faculty, Sirindhorn International Institute of Technology, Thammasat University …"
217,F1KNLPoAAAAJ,Natee Sirisit,"Lecturer, Faculty of Science and Technology, Thammasat University"
218,j_-vVloAAAAJ,Wannipat Buated,"Lecturer of Physical Therapy, Thammasat University, Thailand"
219,GPHC1nYAAAAJ,Anuchit Toomaneejinda,Thammasat University
220,sqL68ngAAAAJ,Saung Hnin Pwint Oo,"Sirindhorn International Institute of Technology, Thammasat University"
221,O24K-w4AAAAJ,Preechaya Mongkolhutthi,Thammasat University
222,Y57MuVQAAAAJ,Munin Pongsapan,"Dean and Associate Professor, Faculty of Law, Thammasat University"
223,AQJjKigAAAAJ,Surat Teerakapibal,"Thammasat Business School, Thammasat University"
224,ks55vhEAAAAJ,Joshua D. Bernstein,Thammasat University
225,iSFagm4AAAAJ,Wilasinee Pananakhonsab,Thammasat University
226,DCooF0wAAAAJ,Dipendra KC,Thammasat University
227,WPuwUZMAAAAJ,Peraset Chompuming,Thammasat Business School
228,dq3WmHQAAAAJ,Nantapath Trakultraipruk,"Lecturer of Mathematics, Thammasat University"
229,p9PelikAAAAJ,Winyu Ardrugsa (วิญญู อาจรักษา),"Lecturer, Faculty of Architecture and Planning, Thammasat University"
230,9mytLJIAAAAJ,Sarunwit Promsaka Na Sakonnakron,"University instructor, Thammasat University"
231,ipJcMJcAAAAJ,Napong Tao Rugkhapan,"School of Global Studies, Thammasat University"
232,A2k2QQkAAAAJ,Wanissa Suanin,Thammsat University
233,iMRlM8sAAAAJ,Thanyaporn Soontornthum,Thammasat University
234,HybQ8ngAAAAJ,Harald Kraus,"Lecturer, Thammasat University, Thailand"
235,vR6Vn6kAAAAJ,Winai Nadee,Thammasat Business School
236,zET-XbsAAAAJ,Tin Tin Khaing,"School of ICT, Sirindhorn International Institute of Technology, Thammasat University"
237,G047LH0AAAAJ,Anutchanat Jaroenjitrkam,Thammasat Business School
238,d2mMM0AAAAAJ,Romrawin Chumpu,Sirindhorn International Institute of Technology
239,dcVpvJIAAAAJ,Kornkamon Tantiwanit,"Assistant Professor, Thammasat University"
240,Ax9NZsUAAAAJ,Thanaruk T.,"Sirindhorn International Institute of Technology, Thammasat University"
241,TYPnwPUAAAAJ,Naris Charoenporn,"Faculty of Engineering, Thammasat University, Thailand"
242,2UnQJJoAAAAJ,Suwadee Jiajaroen,Thammasat University
243,CWvrgp8AAAAJ,Somkiat Kosolsombat,Thammasat University
244,rMOfJy0AAAAJ,Fa Likitswat,"Assistant Professor of Landscape Architecture, Thammasat University"
245,Pujc2AoAAAAJ,Sukrit Vinayavekhin (Bank),"Lecturer of Innovation and Operations Management, Thammasat Business School"
246,Dlt8lIMAAAAJ,Panjasit Chokesamritpol,"PhD Candidate, Thammasat University"
247,85EifHMAAAAJ,Vimolchaya Yanasugondha,"Assistant Professor, Language Institute, Thammasat University"
248,CgtsqesAAAAJ,Jirapa Tangsritrakul,"Faculty of Science and Technology, Thammasat University"
249,JHcgfJAAAAAJ,Lapinee Kosonboon,Thammasat Business School
250,Nbx28GwAAAAJ,Alisara Rungnontarat CHARINSARN,Thammasat Business School
251,tVti2RUAAAAJ,Asan Suwannarit,"Faculty of Architecture and Planning, Thammasat University"
252,gsZZQLcAAAAJ,Supa Vittaporn,Thammasat University
253,qVvRRnYAAAAJ,Sustarum Thammaboosadee,Associate Professor Thammasat University
254,r7Sq8sEAAAAJ,Raisha Shrestha,Thammasat University
255,EolBIDUAAAAJ,surachai tumtavitikul,"Thammasat Business School, Thammasat University"
256,Ap9OHc8AAAAJ,Pattaramas Jantasin,"Lecturer, Language Institute, Thammasat University"
257,ZfaOXTIAAAAJ,Akanksha Bhurtel,"Sirindhorn International Institute of Technology, Thammasat University"
258,9h513rsAAAAJ,Chamath DY Yahampath Arachchige Don,"PhD student, Sirindhorn International Institute of Technology, Thammasat University"
259,rDT8OsUAAAAJ,Frederic Carral,Thammasat University
260,pxcBG9EAAAAJ,Chorney Eang,"Doctor of Advanced Materials Science, Sirindhorn International Institute of Technology"
261,oZ6CJ6YAAAAJ,Frederic Carral,"Thammasat University, Bangkok"
262,DXcnFl0AAAAJ,Chanchai Tangruenrat,"Lecturer of Accounting, Thammasat Business School"
263,2uezSbcAAAAJ,Pit Jongwattanakul,"Faculty of Economics, Thammasat University"
264,cW56GYoAAAAJ,Sitthiphon Kruarattikan,"Associate Professor, Thammasat University"
265,lHMNqlUAAAAJ,Ekapon Thienthaworn,Thammasat University
266,UC06tasAAAAJ,Alim Bubu Swarga,"Postgraduate Student, Thammasat University"
267,gp62eGMAAAAJ,Prakirati Satasut,"Faculty of Sociology and Anthropology, Thammasat University"
268,ZFd-YFUAAAAJ,Sairag Sa-adprai,Thammasat University
269,LRgON_8AAAAJ,Thanatchaphan Petcharat,"College of Interdisciplinary Studies, Thammasat University"
